Mánaðarmeðaltöl fyrir stöð 710 - Hólar í Hornafirði,,,,,,,,,,,,,,,,,
stöð,ár,mán,t,tx,txx,txxD1,tn,tnn,tnnD1,rh,r,rx,rxD1,p,n,sun,f
710,1988,12,0.9,3.5,8,7,-1.9,-9.2,23,NA,113.9,30.5,31,NA,5.7,12.6,5.5
710,1989,1,0.8,3.9,8.5,27,-1.8,-7.5,22,NA,232.2,41.3,3,NA,5.8,15.4,5.5
710,1989,2,-1.7,1.4,6.8,9,-4.8,-10.5,16,NA,142.5,37.6,2,NA,4.9,84.1,8.7
710,1989,3,0.3,2.6,5.6,8,-2.9,-9,14,NA,158.5,56.4,27,NA,5.6,99.8,4.1
710,1989,4,2.7,5,7.8,18,0.3,-6.5,25,NA,170.5,38.5,5,NA,5.4,156.3,4.8
710,1989,5,5.5,8,13.2,27,3,0.6,19,NA,187.9,57.4,20,NA,5.7,181.8,5.9
710,1989,6,8.4,10.7,15.4,19,6.2,2.4,30,NA,85.7,41,12,NA,6,152.5,3.8
710,1989,7,10.8,13.3,21.2,14,7.9,4,1,NA,113.8,31.7,26,NA,5.6,213,3.1
710,1989,8,9.8,12.1,15.8,3,7.5,3.5,26,NA,172,26.9,21,NA,6.7,115.2,3.2
710,1989,9,7.8,9.8,14.4,4,5.3,1.5,2,NA,222.3,35.8,16,NA,6,96.8,5.4
710,1989,10,5.1,7.5,14.8,1,2.9,-2.4,27,NA,155.9,46,20,NA,5.9,73.3,4.1
710,1989,11,2.2,4.2,8.4,13,-0.2,-6.8,19,NA,96,19.1,13,NA,4.9,53,3.7
710,1989,12,-0.1,2.7,11.6,6,-2.6,-11,20,NA,71.7,24.6,24,NA,4.5,21.7,5.9
710,1990,1,1.7,4.1,7.6,1,-0.5,-7.4,18,NA,254,30.5,6,NA,6.5,16.5,6.6
710,1990,2,-0.1,2.3,5.8,1,-2.7,-9.4,28,NA,82.7,14.7,15,NA,6.1,41.9,5.6
710,1990,3,-0.7,2,6.8,13,-3.9,-10.5,1,NA,126.1,30.3,14,NA,5.1,140.1,6.2
710,1990,4,1.9,4.3,7.2,20,-1,-7,4,NA,100.7,29.2,15,NA,5.5,164.3,5.3
710,1990,5,6.9,9.2,13.6,6,4.4,-0.8,24,NA,82.1,37.3,2,NA,6.4,151.7,1.7
710,1990,6,9.1,11.6,14.6,22,6.8,1.6,5,NA,64.7,22,15,NA,6.7,130.9,3.5
710,1990,7,10.8,13.2,17,28,8.6,4.6,7,NA,237.8,97.3,25,NA,6.7,95.9,3.4
710,1990,8,10.6,13.2,17.4,5,8,3.8,18,NA,135.8,27.2,28,NA,6.4,130.7,2.6
710,1990,9,7.3,9.7,13.8,4,4.3,-0.5,19,NA,78,20.6,19,NA,5.8,116.5,6.1
710,1990,10,5.4,7,10.4,3,3.2,-1.5,7,NA,127.7,33.4,28,NA,6.8,31.8,7.7
710,1990,11,2.9,4.9,9,13,0.9,-4,4,NA,74.7,24.5,23,NA,5.4,49.4,3.8
710,1990,12,0.1,3,8.4,1,-2.9,-9,18,NA,126.7,23.8,21,NA,5.4,14.3,6.3
710,1991,1,2.3,4,7.4,24,NA,-7.4,11,NA,235.4,62,2,NA,6.3,22.8,8.3
710,1991,2,2.5,4.4,7.5,5,-0.2,-5,24,NA,138.8,39.6,3,NA,6,56.1,6.4
710,1991,3,3.3,5.2,8.6,25,0.8,-4.5,30,NA,174.1,35,16,NA,6.1,91.7,8.1
710,1991,4,1.9,4.8,11.6,17,-1.8,-7.8,4,NA,87.4,41.3,27,NA,5,163.6,6.9
710,1991,5,7.8,11,18.5,28,4.6,0.6,13,NA,49,14,19,NA,5.7,195.2,3.4
710,1991,6,8.6,11.6,17.4,27,5,-0.5,9,NA,8.1,2.4,8,NA,4.9,218.6,2.8
710,1991,7,11.8,14.6,21.8,9,9.1,6.2,25,NA,60.5,24,26,NA,6.9,124.7,2
710,1991,8,10.8,13,17,1,8,5.2,24,NA,150.2,39.5,29,NA,5.8,126.1,3.1
710,1991,9,7.5,10.7,18.5,6,4.6,0.2,26,NA,77,16.6,20,NA,5.5,132.9,4.8
710,1991,10,5.2,7.4,10.4,3,2.7,-3.8,18,NA,197.4,68.5,3,NA,6.2,60.6,6.6
710,1991,11,1,3.2,9,23,-1.5,-7.8,9,NA,150.3,27.8,11,NA,5.8,36.1,5.7
710,1991,12,1.3,3.7,7.6,7,-1.4,-8.5,21,NA,183.6,33,17,NA,5.6,2,5.7
710,1992,1,2.4,5,8.5,13,0,-9.8,4,NA,103.6,30.2,27,NA,6.3,5,5.9
710,1992,2,0.7,3.7,7.8,6,-2.4,-8.5,4,NA,234.6,43.1,13,NA,6.8,23.2,8.6
710,1992,3,0.7,3.1,7.5,8,-1.9,-16,14,NA,122.9,21.8,21,NA,6.2,75.4,4.9
710,1992,4,2.6,5.1,9,22,0,-4.2,15,NA,96.5,25.4,30,NA,6.2,105.8,6.1
710,1992,5,6,8.5,15,26,3.4,-4.2,10,NA,81.1,39.6,19,NA,6,138.5,4.2
710,1992,6,8.8,11.5,17.6,18,6.6,2,25,NA,114.7,53,7,NA,6.4,137.1,5.8
710,1992,7,9.4,11.8,15.4,19,7,3.5,1,NA,51.2,17.3,26,NA,6.5,123.7,3.6
710,1992,8,9.6,11.8,16.2,23,7.4,4.2,28,NA,152.4,33.5,21,NA,6.8,112.6,4.7
710,1992,9,8.1,10,14.4,29,5.5,0.6,4,NA,268.1,89.6,7,NA,6.6,55.7,5.7
710,1992,10,4.3,6.8,11.8,10,1.3,-8.2,29,NA,91.2,22.2,3,NA,4.9,89.8,5.1
710,1992,11,1.3,3.6,7.6,8,-1.2,-4.6,19,NA,243.6,58.8,24,NA,5.5,24.4,5
710,1992,12,0.2,2.6,7,26,-2.6,-9,15,NA,141.2,25.7,23,NA,5.7,0,7.3
710,1993,1,-1.9,1.3,8,3,-5.7,-15.6,24,NA,137,45.7,3,NA,6.4,2.3,8.5
710,1993,2,0.8,3.4,8.4,16,-2.2,-9,27,NA,96.3,18.2,1,NA,5.7,55.9,7.4
710,1993,3,2.1,4.6,9.2,4,-1.1,-8.2,21,NA,215.9,64.4,13,NA,5.8,107.8,5.5
710,1993,4,4,6.4,9.4,9,1.6,-2.8,24,NA,143.2,23.6,5,NA,5.4,161.6,8.5
710,1993,5,5.7,8.6,17,11,3.1,-1.6,1,NA,73.5,35.5,4,NA,5.9,187.3,7.1
710,1993,6,7.6,9.8,14.8,19,5.3,-0.8,2,NA,161.9,65.7,26,NA,6.7,103.7,2.9
710,1993,7,9.6,12.2,14.8,26,7,4.4,17,NA,32.5,17.4,1,NA,6.3,130.8,4
710,1993,8,9.5,12.1,17.4,24,7.4,3.8,20,NA,100.2,18.7,18,NA,6.3,124.9,2.9
710,1993,9,8.7,10.7,15,4,6.5,1.4,25,NA,137,34.1,20,NA,6.8,79.2,2.6
710,1993,10,4,6.2,10.4,1,1.3,-7.4,16,NA,52.2,28.6,22,NA,4.6,101.8,4.8
710,1993,11,5,6.6,9.5,17,2.8,-6.6,13,NA,310.3,40,9,NA,6.9,30.6,7.5
710,1993,12,-0.8,1.2,6,29,-3.1,-9.4,19,NA,78.1,16.6,29,NA,5.1,14.8,8.4
710,1994,1,-1.7,0.7,6.8,11,-4.1,-12.2,23,NA,243.9,73.6,12,NA,6.1,24.2,10.2
710,1994,2,2.2,3.9,7.4,18,0.1,-7.8,26,NA,262.6,40.2,1,NA,6.4,36.7,6.2
710,1994,3,-0.2,1.9,6.8,27,-2.7,-10.4,20,NA,164,51.2,28,NA,5.6,85.7,7.2
710,1994,4,1.9,4.7,9.2,15,-1,-5.5,29,NA,34.3,16,11,NA,3.8,238.8,6.9
710,1994,5,7.2,9.6,14.4,30,4.1,-0.2,15,NA,87.1,25,6,NA,5.5,181.2,3.4
710,1994,6,8.1,9.9,13.4,30,5.6,3,8,NA,59.6,13.6,25,NA,5.9,173.1,3.4
710,1994,7,11.2,13.4,17.8,6,9.5,6.8,6,NA,247,105.7,30,NA,7,116.9,2
710,1994,8,10.3,13.2,18.6,7,7.8,2,30,NA,54.5,19.2,26,NA,5.4,184.9,2.3
710,1994,9,6.8,9.4,13,8,4.4,-1.8,29,NA,129.3,61.2,7,NA,4.4,156.5,3.8
710,1994,10,4.6,6.4,10.8,12,1.9,-5,3,NA,172.1,68.6,19,NA,6.7,52.7,4.6
710,1994,11,3.9,6.1,10.4,8,1.5,-3,20,NA,241.4,53.6,19,NA,6,29.7,5.4
710,1994,12,0.2,2.8,9,2,-2.5,-8.4,31,NA,210.7,30.3,2,NA,5.4,25.3,7.2
710,1995,1,-0.5,1.8,5.8,7,-3,-9.8,1,NA,138,31,5,NA,6,12.4,5.3
710,1995,2,-1.5,0.8,5.2,20,-4.4,-10.8,8,NA,105.3,30.4,3,NA,4.4,77.1,5.9
710,1995,3,-1.1,1.4,6.5,30,-4.1,-10,4,NA,59.3,14.2,22,NA,4.5,170.9,7.6
710,1995,4,1.6,4.3,9.4,11,-1.1,-7.6,4,NA,35.7,19.1,11,NA,4.6,218.9,6.3
710,1995,5,5.6,8.5,15,29,3.1,-3.2,20,NA,65.2,18,4,NA,6.3,161.3,2.9
710,1995,6,9.9,12.8,20.5,9,6.9,2.8,2,NA,164.1,99.4,17,NA,5.6,216.8,2.3
710,1995,7,9.6,12.2,17.8,1,7.3,3,15,NA,59.4,15.5,26,NA,6.4,163.9,3.3
710,1995,8,10.2,12.9,16.8,2,8.2,3.4,25,NA,175.9,58.1,21,NA,5.8,170.4,2.6
710,1995,9,7.4,9.3,14.4,10,4.8,-2.4,29,NA,41.1,18.3,25,NA,5.9,92.4,3.9
710,1995,10,4.5,6.7,10.4,5,2.2,-3.4,30,NA,239,109,1,NA,5.9,70.9,4.5
710,1995,11,2.1,4.5,11.6,2,-0.6,-5.6,28,NA,58.1,22.6,7,NA,5.4,52.1,4
710,1995,12,-0.6,1.6,10.2,2,-2.7,-11.4,20,NA,213.9,48.7,3,NA,5.1,15.1,3.8
710,1996,1,3.3,5.4,8.5,9,1.3,-3,1,NA,144,28.9,10,NA,7.1,15.5,2.6
710,1996,2,0.1,2.6,6.5,21,NA,-12.4,27,NA,143,53.3,18,NA,6.2,56.7,5
710,1996,3,2.7,5.5,10.6,2,-0.3,-7.2,24,NA,73.8,17.5,16,NA,4.2,164.5,4.1
710,1996,4,4.4,6.3,9.6,10,2,-4.6,4,NA,192,50.8,8,NA,6.3,110.6,6.3
710,1996,5,5.7,8.4,13.4,15,3.2,-4.8,1,NA,42.2,14.6,28,NA,6.7,131.2,3.3
710,1996,6,9.5,11.9,17.2,22,7.4,2.2,3,NA,58.3,13.2,8,NA,6.2,149.7,3.4
710,1996,7,10.4,12.8,16,27,8.1,3.6,3,NA,106.2,38.3,19,NA,6.5,130.5,2
710,1996,8,10.3,12.6,16.5,16,7.4,4,25,NA,116.8,19,8,NA,6.3,129.5,3.4
710,1996,9,10.1,12.3,18.4,9,7.8,4.2,8,NA,205.5,47,24,NA,6.4,80,2.4
710,1996,10,5.4,7.4,11.8,14,2.7,-5.4,31,NA,318.4,51.2,16,NA,6,85,7
710,1996,11,-1.9,0.3,6.5,27,-4.4,-10.6,24,NA,72.3,56.6,29,NA,3.6,81.3,5.4
710,1996,12,-0.1,2.1,6,1,-2.2,-8.6,12,NA,76.6,29.4,1,NA,6.1,17.7,4.9
710,1997,1,0.8,3.2,8.8,28,-1.9,-7.6,7,NA,98.1,23.1,25,NA,5.1,41.2,5
710,1997,2,-0.1,2.3,6.6,16,-3.1,-9.2,4,NA,198.2,34.1,10,NA,5.9,69.1,6.3
710,1997,3,0.9,3.5,8,29,-1.7,-9.4,15,NA,145.6,25,4,NA,5.5,109.9,7.8
710,1997,4,3.5,6.6,14.5,15,0.3,-6,23,NA,61.5,16.4,29,NA,5.2,134.6,3.9
710,1997,5,5.2,7.9,14.2,25,2.4,-7,6,NA,15.7,10.7,29,NA,5.5,206.7,5.5
710,1997,6,7.7,10.6,17.6,28,4.9,-1,7,NA,88.3,40.6,19,NA,6.2,176,5.2
710,1997,7,10.7,12.8,16.8,30,8.8,4.4,7,NA,103.5,27.7,20,NA,7.6,79.3,1.6
710,1997,8,10.8,12.8,17,13,8.7,5,31,NA,209.6,46.4,17,NA,7,97.9,2.7
710,1997,9,7.8,10.2,14.8,3,5,-1.4,18,NA,209.5,65.6,25,NA,5.2,114.8,4.8
710,1997,10,4.5,6.9,9.8,6,1.8,-2.2,20,NA,120.6,47.8,6,NA,5.6,86.1,3.5
710,1997,11,5,6.6,9.6,19,3.2,-2.6,30,NA,271.5,43.6,26,NA,6.9,30.3,5
710,1997,12,2.7,4.4,9.2,14,0.5,-5.8,3,NA,241.9,48.8,14,NA,6.3,11.2,4.5
710,1998,1,1.1,3.2,8,2,-1,-12.6,18,NA,275,52.4,3,NA,5.8,34.9,9
710,1998,2,-0.5,2.4,8.4,13,-3.6,-12.6,28,NA,121.3,21.2,25,NA,5.4,78.6,5.9
710,1998,3,-0.9,2.2,10.8,14,-4.1,-14,1,NA,81.8,30.5,23,NA,4.9,162.3,8.1
710,1998,4,2.5,4.7,10.2,24,0.4,-8.6,10,NA,36.4,12.5,24,NA,5.8,142.5,4.3
710,1998,5,6.8,9.8,20.2,22,3.9,-1.4,9,NA,29.7,11.4,15,NA,5.5,204.6,5.2
710,1998,6,7.4,9.4,13.8,14,5.2,-0.6,2,NA,64.4,32.9,25,NA,6.9,92.2,2.7
710,1998,7,10,12.3,16.5,2,7.3,3.6,12,NA,27.3,9.9,8,NA,6.2,126.1,2.2
710,1998,8,10.6,12.6,14.8,4,7.9,2.4,22,NA,195,39.6,31,NA,6,128.3,2.5
710,1998,9,8.4,10.3,14.6,6,6.3,1.4,17,NA,104.9,29.3,19,NA,6.5,96.1,7.6
710,1998,10,3.3,5.5,10.2,5,0.7,-7,17,NA,97,29.9,7,NA,5.2,96.4,6.8
710,1998,11,2.8,5,9.6,7,0.1,-8.6,6,NA,284.3,75.5,8,NA,5.9,32.8,7.2
710,1998,12,1.8,4.2,9.6,7,-0.4,-8.8,20,NA,364.7,113.7,7,NA,5.9,7.4,7.3
710,1999,1,0.9,3.1,7.6,31,-1.6,-6.6,6,NA,105.7,28.4,28,NA,6.2,16.9,8.4
710,1999,2,-0.6,2.2,8.2,2,-3.5,-10.4,17,NA,116.7,19.4,24,NA,5.1,76.1,7.5
710,1999,3,-0.4,2.1,6,17,-3.1,-6.4,31,NA,50.7,16.1,29,NA,4.4,165,7
710,1999,4,2.9,5.7,12.6,27,-0.3,-6.4,17,NA,52.8,23.2,8,NA,5.8,160.8,5.8
710,1999,5,6.5,8.8,11.6,7,3.8,-1,2,NA,97,19.3,28,NA,6.5,122,4
710,1999,6,8.9,11.1,19.5,29,6.9,2.4,5,NA,113.2,34,26,NA,6.4,148.5,3.9
710,1999,7,10.4,12.9,23,26,8.2,4,6,NA,47.6,13.8,9,NA,6.4,133.8,2.3
710,1999,8,10.2,12.6,16.2,3,7.7,4.2,19,NA,33.1,5.9,28,NA,6.1,138.6,2.7
710,1999,9,8.8,10.8,15,21,6.4,-1.4,29,NA,317.7,69.3,16,NA,6.8,71.7,5.8
710,1999,10,6,8,10.2,18,3.5,-1.6,4,NA,113.7,21,27,NA,5.8,89.3,5.1
710,1999,11,2,4.5,10.4,3,-0.5,-9.4,28,NA,59.1,15,7,NA,5.5,49.3,5.3
710,1999,12,-0.9,1.9,7.2,31,-3.6,-11,2,NA,215.3,58.2,12,NA,5.8,18.5,5
710,2000,1,0.7,4.1,15.8,16,-2.4,-8.6,30,NA,55.9,21.8,1,NA,4.8,35.9,6.5
710,2000,2,-0.1,2.3,7.4,4,-3.1,-9.6,13,NA,136.6,24,9,NA,5.7,73.7,7.5
710,2000,3,0.7,2.9,8.2,29,-2.4,-11,6,NA,236.2,88.7,25,NA,5.8,107.4,9.1
710,2000,4,0.8,3.5,9.4,7,-2.2,-8.4,2,NA,28.2,10.3,7,NA,3.8,265.1,6.1
710,2000,5,6.4,8.7,11.4,15,4,-0.2,20,NA,80.1,14.2,16,NA,6.4,152.5,4.6
710,2000,6,7.9,10.1,13.4,28,5.2,1,3,NA,27.3,9,2,NA,6.3,154.9,2.9
710,2000,7,10,12.4,18,25,8.2,3.5,2,NA,32.8,16.2,17,NA,6.8,113.4,1.5
710,2000,8,10.8,13.5,17.5,5,7.8,4,7,NA,55.7,10.4,31,NA,5.6,162.3,1.8
710,2000,9,8.9,11.2,14.8,24,6.4,1.8,18,NA,119.6,21.6,7,NA,6.2,81,4.8
710,2000,10,5.9,7.9,10.6,2,3.4,-2,12,NA,207.1,31,16,NA,6.5,62.2,4.8
710,2000,11,2.8,5,8.6,30,0.1,-7,8,NA,58.5,21.5,27,NA,5.9,40.8,8
710,2000,12,1.1,3.4,9.2,2,-1.7,-13,31,NA,99.7,25.2,8,NA,5.5,20.6,7.5
710,2001,1,2.5,4,7.6,23,0.5,-6,9,NA,141.5,47.6,23,NA,5.9,33.1,7.7
710,2001,2,0.5,3.3,8.4,1,NA,-10.6,25,NA,151,48.7,1,NA,4.9,90,9.2
710,2001,3,-0.3,2.1,7.6,8,-3.3,-9.6,1,NA,107.4,36.2,31,NA,5.8,82.5,5.8
710,2001,4,3.3,5.8,10.2,24,-0.1,-5.4,11,NA,78.5,36.7,28,NA,5.8,146.6,4.9
710,2001,5,6.8,9.3,12.6,21,4.4,-1,3,NA,72,23.3,21,NA,6.5,168.8,4.1
710,2001,6,8.6,10.9,16.2,3,5.9,1.8,1,NA,108.1,42.9,19,NA,6,164.8,3.2
710,2001,7,10.4,12.5,14.4,31,8.1,3,13,NA,28.5,17.6,28,NA,6.6,129.6,2.5
710,2001,8,10.4,12.2,14,4,8.3,2.8,7,NA,189.8,38.7,22,NA,7.3,60.3,1.9
710,2001,9,8.9,11.1,14.6,5,6.2,0.6,26,NA,123.6,51.5,30,NA,6,105.7,3
710,2001,10,7.5,9.1,12.6,18,5.4,-1,31,NA,207.4,36.6,1,NA,6.3,59.4,5.4
710,2001,11,1.6,4.6,10,14,-2,-7.6,22,NA,119.2,35,25,NA,5.4,51.2,6.8
710,2001,12,1.4,4.5,11.4,23,-1.9,-9,27,NA,72.6,13.8,7,NA,5.3,15.8,5.4
710,2002,1,2,4.1,9,6,-0.6,-10.2,25,NA,408.8,79.5,19,NA,6.3,35.4,7.9
710,2002,2,-2,0.5,7.2,15,-4.8,-12.4,28,NA,89.4,34.5,2,NA,4.7,103.4,8.7
710,2002,3,0.5,3,8.2,23,-2.7,-10,1,NA,145.1,53.7,24,NA,5.5,124.2,5.4
710,2002,4,5.1,7.1,11.6,22,2.4,-4.6,27,NA,254.5,49.9,20,NA,6.4,118.1,6.9
710,2002,5,6.9,9.3,14.2,25,4.5,-2,12,NA,115,29.7,29,NA,6.4,142.8,6.4
710,2002,6,9.9,12.6,19.4,8,6.9,2.2,22,NA,118,72.6,18,NA,6.3,149.6,3.4
710,2002,7,10.6,12.9,17,25,8.1,5.4,30,NA,80.9,19.8,14,NA,6.2,161.3,3.1
710,2002,8,10.6,12.7,15,18,8.5,5.6,22,NA,84,14.2,23,NA,6.9,94.5,2.1
710,2002,9,9,11.4,19,10,6.4,2.5,28,NA,114,32.1,5,NA,6.5,92.9,2.6
710,2002,10,6,7.3,13.4,2,3.7,-5,28,NA,345.6,74.7,13,NA,5.7,85.5,7.8
710,2002,11,5.9,7.1,9.8,28,3.9,-4.4,16,NA,672.4,97.6,21,NA,6.8,30,7.1
710,2002,12,4.1,5.7,9.8,24,2,-3.6,29,NA,248.8,48.7,4,NA,6.8,4.4,3.2
710,2003,1,0.3,2.9,7,11,-2.1,-9.2,30,NA,124.9,25.1,24,NA,5.4,21.7,5.2
710,2003,2,3.7,5.5,8.8,17,1.2,-7.6,3,NA,285.1,38,16,NA,6.4,51.1,7.8
710,2003,3,4.4,6.3,9.2,16,1.7,-7.4,11,NA,242.4,55.2,1,NA,6.7,101.9,7
710,2003,4,5.8,8.1,12.5,18,3.2,-3,30,NA,63.5,11,18,NA,6.8,83.2,4.9
710,2003,5,5.6,8,11.6,28,3,-4.4,4,NA,73.6,42.4,19,NA,6,190.1,4.8
710,2003,6,9.9,11.8,15.2,19,7.9,3.6,15,NA,137.7,28.3,27,NA,7.5,45.6,3.2
710,2003,7,11.6,13.7,21.6,18,8.9,4,11,NA,165.8,36.3,24,NA,6.8,105,1.8
710,2003,8,12.6,14.9,17.2,25,9.9,2.8,28,NA,128.4,29.5,21,NA,6.1,141.6,1.7
710,2003,9,8.6,11,16,1,5.5,-2.6,23,NA,116.2,30.6,12,NA,6,134.7,4
710,2003,10,4.2,7.1,12.2,2,1.6,-4.2,23,NA,109.2,45.5,15,NA,5.1,123.5,3.7
710,2003,11,3.7,5.6,10.5,7,0.8,-6.4,4,NA,137.1,26.2,7,NA,5.5,39.7,5.1
710,2003,12,0.4,3.2,8.5,3,-2.3,-9.2,21,NA,116.3,22.6,17,NA,5.7,14.9,5.3
710,2004,1,-0.2,2.6,7.8,8,-2.8,-10.2,26,NA,148.5,30.3,8,NA,5.1,45.7,5.9
710,2004,2,0.8,3.4,9.2,23,-2.5,-10,8,NA,110.3,31.6,14,NA,5.2,58.5,6.2
710,2004,3,4.8,6.7,10,25,2,-4,28,NA,149.7,29.4,14,NA,6.1,110.6,7.2
710,2004,4,5.9,8,13.5,8,3.5,-1.6,14,NA,115.8,16.4,24,NA,6.6,113.5,6
710,2004,5,7.1,9.5,14.2,28,4.7,-1.2,5,NA,81.2,16.2,13,NA,6.4,145.7,5.5
710,2004,6,9.3,11.4,16.2,14,6.6,3.4,22,NA,75.2,36.7,30,NA,6.2,178.3,3.1
710,2004,7,11.5,13.7,18,7,8.5,4,5,NA,106.2,28.5,1,NA,5.7,184.4,2.1
710,2004,8,12.2,14.8,24.4,10,8.6,4.6,21,NA,215,67.2,3,NA,5.4,213.5,2.4
710,2004,9,9.5,11.7,13.4,25,7.1,1.6,15,NA,247.7,62,16,NA,6,119.3,3.9
710,2004,10,5.2,7.5,11.4,2,2.8,-5.2,28,NA,98.5,38.8,2,NA,5,105.5,6.1
710,2004,11,1.9,4.5,10,7,-0.8,-8.2,20,NA,150.1,48,3,NA,5.3,45.8,4.6
710,2004,12,-0.5,2.4,8.6,12,-3.4,-13,23,NA,145.8,35.5,8,NA,5,18.1,5.5
710,2005,1,-0.2,3.1,9.6,29,-3,-7,8,NA,124.1,46,15,NA,5.4,45.1,6.9
710,2005,2,1.1,3.9,13.6,21,-2.5,-8.8,5,NA,31.9,12.8,7,NA,4.6,92.5,5
710,2005,3,2.7,5.5,10.2,27,-0.8,-9.5,13,NA,107.2,45.1,18,NA,5.3,108.9,5.2
710,2005,4,3.9,6.8,11,19,1.1,-9,8,NA,123.2,43.3,18,NA,6.1,140.8,6
710,2005,5,5.1,8.1,14.4,13,1,-3,19,NA,1.7,0.8,2,NA,4.2,310.8,5.8
710,2005,6,9.3,12.2,17,26,5.5,1.4,2,NA,48.3,15.7,21,NA,6.1,184.4,2
710,2005,7,11,13.8,18,11,8.1,3.8,27,NA,201.3,77.8,4,NA,6.4,180.2,2.3
710,2005,8,10.3,12.6,15.6,11,7.7,3.4,23,NA,125.2,35.5,17,NA,6.3,122.6,3.7
710,2005,9,6.3,9.2,13,17,3,-1.2,25,NA,95.3,25.5,30,NA,5.4,141.4,5.7
710,2005,10,3.8,6.1,10.9,16,0.6,-8,26,NA,357.9,163,15,NA,6,71.9,5.8
710,2005,11,1.6,4,8,19,-1.3,-5.4,25,NA,67,21,7,NA,5.8,43.4,4.4
710,2005,12,2.6,5.1,9.4,14,-0.4,-7.4,17,NA,117.9,15.5,5,NA,6.4,11.3,4.7
710,2006,1,2.4,5.2,9,4,-1.1,-9.4,17,NA,234.6,42.6,4,NA,6.1,24.1,6.2
710,2006,2,3.3,5.7,8.6,3,0.5,-7.4,8,NA,108.3,20.6,13,NA,5.8,71.4,3.9
710,2006,3,0.5,3.3,13.5,18,-2.5,-9.5,21,NA,40.5,16.2,7,NA,4.8,163.4,6.1
710,2006,4,3.1,6.2,15.5,28,-1.1,-6,3,NA,92,22,10,NA,5,195.3,7.5
710,2006,5,5.7,8.8,17,7,2.1,-2.5,13,NA,88.3,29.5,3,NA,5.3,224.1,5.3
710,2006,6,9.9,12.4,14.6,10,6.9,3,13,NA,95.6,20.7,6,NA,6.1,203.5,5
710,2006,7,10.8,12.8,15.4,28,8.3,3.6,9,NA,150.3,23.7,4,NA,6.9,128.7,2.5
710,2006,8,11.3,14.1,18.6,6,8.6,4.8,17,NA,45.2,9,5,NA,6.2,148.6,1.7
710,2006,9,10.4,12.4,15.5,2,7.3,2.5,25,NA,119.6,25.6,16,NA,6.8,73.6,4.1
710,2006,10,6,7.8,13.2,14,3.6,-4.4,24,NA,217.5,47.1,28,NA,5.8,86.2,6
710,2006,11,1.4,4,9.8,5,-2.1,-10.5,19,NA,102.5,26.3,10,NA,6,46.5,8.7
710,2006,12,3.7,5.8,9.4,21,0.9,-6.4,16,NA,269.6,46,29,NA,6.4,7.4,7.3
710,2007,1,-0.5,2.3,11.2,25,-4,-11,10,NA,74.9,28.5,5,NA,5.3,30,5
710,2007,2,1,2.9,7.4,2,-1.8,-8,26,NA,98,22.6,15,NA,4.9,86.4,7.1
710,2007,3,3.3,5.7,9,31,0.1,-7.6,20,NA,219.1,34.3,26,NA,6,105,6.7
710,2007,4,5.5,8.4,18,3,2.4,-5.2,19,NA,124.1,39,21,NA,6.1,155.8,3.8
710,2007,5,5.6,8.8,14.2,30,2.2,-1.5,10,NA,11.3,8.8,21,NA,5.3,242.1,5.9
710,2007,6,9.8,12.5,16.5,13,7.7,3,13,NA,20.5,15.5,3,NA,6.5,171,3.5
710,2007,7,10.2,12.5,16.4,3,8,5,28,NA,26.2,14.2,31,NA,7.2,88.2,1.8
710,2007,8,10.3,13.3,17.6,6,7.8,4.6,27,NA,54.3,14.4,22,NA,6,160,3.1
710,2007,9,7.8,10.1,17.2,7,4.7,-1.4,17,NA,156,35.8,28,NA,5.8,139.7,4.6
710,2007,10,6.5,8.6,11.6,5,3.7,-2.6,30,NA,306.7,68.3,23,NA,5.8,88.6,5.7
710,2007,11,1.9,4.5,10,2,-1.2,-7,22,NA,143.5,49.6,30,NA,5.4,60.2,5.2
710,2007,12,2.2,4.6,9,14,-0.8,-7.6,30,NA,260.6,48.6,31,NA,6.5,8.5,6.1
710,2008,1,-0.1,2.5,8,3,-3.2,-8,19,NA,162.4,27.8,6,NA,5.4,41.3,6.5
710,2008,2,0.9,3.6,8.2,11,-2,-11.6,2,NA,92.4,23.6,11,NA,5.8,88.1,6.6
710,2008,3,0.6,3.1,7.4,5,-2.2,-6.8,3,NA,56.6,13,7,NA,6.2,111.8,6.6
710,2008,4,3.2,6.1,10.4,25,0.4,-7.6,5,NA,8.1,2.5,14,NA,5.5,178.8,7
710,2008,5,7.5,9.8,13.6,8,5.2,1.6,10,NA,58.9,10.9,3,NA,6.9,140.4,3
710,2008,6,9.3,11.5,13.5,24,6.4,2.6,19,NA,103.5,53.7,17,NA,5.9,176.8,4.2
710,2008,7,11.3,14,24.2,30,8.8,5.6,9,NA,91,24.9,2,NA,6.6,112.4,2.5
710,2008,8,11,13.2,18.6,1,8.1,4,13,NA,101.8,21.7,29,NA,6,159.7,2.7
710,2008,9,9.7,11.5,15,2,7.3,2,30,NA,366.8,113.2,11,NA,6.2,117.9,4.8
710,2008,10,3.1,5.5,11,7,0.3,-5,22,NA,146,58.4,7,NA,5.5,105.1,6.6
710,2008,11,2.5,5.4,11.5,18,-0.2,-6.4,21,NA,75.6,28.4,5,NA,5.8,43.5,4.9
710,2008,12,0.5,3,8.8,23,-2.3,-7.6,19,NA,156.2,31.6,24,NA,5.7,24.6,3.3
